id,district,winner,Reg_Voters,Amuriat,Amuriat_Oboi_Patrick_VOTES,Kabuleta,Kabuleta_Kiiza_Joseph_VOTES,Kalembe,Kalembe_Nancy_Linda_VOTES,Katumba,Katumba_John_VOTES,Kyagulanyi,Kyagulanyi_Ssentamu_Robert_VOTES,Mao,Mao_Norbert_VOTES,Mayambala,Mayambala_Willy_VOTES,Mugisha,Mugisha_Muntu_Gregg_VOTES,Mwesigye,Mwesigye_Fred_VOTES,Tumukunde,Tumukunde_Henry_Kakurugu_VOTES,Museveni,Yoweri_Museveni_Tibuhaburwa_Kaguta_VOTES,Valid_Votes,,Invalid_Votes,,Total_Votes,perct,Received_Station
1,ABIM,Yoweri_Museveni_Tibuhaburwa_Kaguta_VOTES,36539,433,1.185035168,71,0.194312926,66,0.180628917,179,0.489887517,3956,10.82678782,395,1.081036701,35,0.095788062,63,0.172418512,41,0.112208873,95,0.259996168,18254,49.95757957,23588,64.55568023,3161,8.651030406,24463,66.95038178,105/105
2,ADJUMANI,Yoweri_Museveni_Tibuhaburwa_Kaguta_VOTES,79364,1179,1.485560204,710,0.894612167,325,0.409505569,198,0.249483393,7866,9.911294794,225,0.283503856,81,0.102061388,264,0.332644524,183,0.230583136,265,0.333904541,35125,44.25810191,46421,58.49125548,3161,3.982914168,48961,61.69169901,142/142
3,AGAGO,Yoweri_Museveni_Tibuhaburwa_Kaguta_VOTES,98354,1595,1.621693068,337,0.342639852,299,0.304003904,202,0.205380564,10559,10.73570978,1834,1.864692844,243,0.247066718,407,0.413811335,356,0.361957826,433,0.440246457,47696,48.49421478,63961,65.03141713,3161,3.213900807,66533,67.64646074,211/211
4,ALEBTONG,Yoweri_Museveni_Tibuhaburwa_Kaguta_VOTES,115804,1920,1.657973818,604,0.52157093,425,0.366999413,297,0.256467825,16794,14.50208974,446,0.385133501,419,0.361818245,634,0.547476771,389,0.335912404,860,0.742634106,42832,36.98663259,65620,56.66470934,3161,2.729612103,68827,59.43404373,248/248
5,AMOLATAR,Yoweri_Museveni_Tibuhaburwa_Kaguta_VOTES,71173,3349,4.70543605,218,0.306295927,240,0.337206525,260,0.365307069,7185,10.09512034,206,0.289435601,134,0.188273643,310,0.435558428,289,0.406052857,466,0.654742669,38619,54.26074495,51276,72.04417405,3161,4.441290939,53184,74.72496593,183/183
6,AMUDAT,Yoweri_Museveni_Tibuhaburwa_Kaguta_VOTES,43647,47,0.107682086,4,0.009164433,6,0.013746649,6,0.013746649,625,1.431942631,7,0.016037757,4,0.009164433,10,0.022911082,20,0.045822164,27,0.061859922,30451,69.76653607,31207,71.49861388,3161,7.242193049,31453,72.0622265,120/120
7,AMURIA,Yoweri_Museveni_Tibuhaburwa_Kaguta_VOTES,88722,16637,18.75183156,319,0.359550055,214,0.241202858,115,0.129618358,3380,3.809652623,215,0.242329975,108,0.121728545,278,0.313338293,219,0.246838439,385,0.433939722,34666,39.07260882,56536,63.72263926,3161,3.562814184,58752,66.22032867,215/215
8,AMURU,Yoweri_Museveni_Tibuhaburwa_Kaguta_VOTES,87122,3825,4.390395078,476,0.546360276,267,0.306466794,238,0.273180138,7466,8.569592066,2334,2.679001859,381,0.437317784,492,0.564725328,321,0.368448842,476,0.546360276,18742,21.51236198,35018,40.19421042,3161,3.628245449,38121,43.75588256,170/170
9,APAC,Yoweri_Museveni_Tibuhaburwa_Kaguta_VOTES,88834,1483,1.669405858,277,0.311817547,263,0.296057816,246,0.276920999,16485,18.557084,310,0.348965486,117,0.131706329,326,0.366976608,300,0.337708535,537,0.604498278,31908,35.91867978,52252,58.81982124,3161,3.558322264,55413,62.3781435,179/179
10,ARUA,Yoweri_Museveni_Tibuhaburwa_Kaguta_VOTES,65738,491,0.746904378,180,0.273814232,207,0.314886367,111,0.16885211,7966,12.11780097,240,0.365085643,85,0.129301165,271,0.412242539,197,0.299674465,232,0.352916122,23824,36.24083483,33804,51.42231282,3161,4.808482156,36067,54.86476619,111/111
10,ARUA,Yoweri_Museveni_Tibuhaburwa_Kaguta_VOTES,170066,1107,0.650923759,705,0.414544941,522,0.306939659,348,0.204626439,28493,16.75408371,772,0.453941411,151,0.088789058,563,0.331047946,233,0.137005633,863,0.507450049,39566,23.26508532,73323,43.11443792,3161,1.858690156,77968,45.84573048,289/289
11,BUDAKA,Yoweri_Museveni_Tibuhaburwa_Kaguta_VOTES,100900,825,0.817641229,307,0.304261645,357,0.353815659,181,0.17938553,27281,27.03766105,157,0.155599604,184,0.182358771,193,0.191278494,326,0.32309217,258,0.255698712,33261,32.96432111,63330,62.76511397,3161,3.132804757,63330,62.76511397,190/190
12,BUDUDA,Yoweri_Museveni_Tibuhaburwa_Kaguta_VOTES,73039,421,0.576404387,83,0.113637919,85,0.116376183,62,0.084886157,14666,20.07968346,57,0.078040499,31,0.042443078,87,0.119114446,81,0.110899656,318,0.435383836,29224,40.01150071,45115,61.76837032,3161,4.327824861,46547,63.72896672,208/208
13,BUGIRI,Kyagulanyi_Ssentamu_Robert_VOTES,193053,1836,0.951034172,256,0.132606072,417,0.216002859,267,0.138303989,49475,25.62767737,279,0.144519899,134,0.069410991,328,0.16990153,226,0.117066298,392,0.203053048,45980,23.8172937,99590,51.58686993,3161,1.637374193,104875,54.32446012,371/371
#N/A,BUGWERI,Kyagulanyi_Ssentamu_Robert_VOTES,84953,563,0.662719386,294,0.346073711,298,0.350782197,94,0.110649418,25939,30.53335374,79,0.092992596,29,0.034136523,153,0.180099584,47,0.055324709,122,0.143608819,17428,20.51487293,45046,53.02461361,3161,3.720880958,47064,55.40004473,154/154
14,BUHWEJU,Yoweri_Museveni_Tibuhaburwa_Kaguta_VOTES,66649,993,1.489894822,159,0.238563219,123,0.184548905,325,0.487629222,3602,5.404432175,83,0.124533001,34,0.051013519,490,0.735194827,94,0.141037375,293,0.439616498,41423,62.15097001,47619,71.44743357,3161,4.742756831,48892,73.35743972,182/182
15,BUIKWE,Kyagulanyi_Ssentamu_Robert_VOTES,235640,1039,0.440926838,219,0.092938381,314,0.133254116,382,0.162111696,81852,34.73603802,388,0.164657953,68,0.028857579,259,0.109913427,152,0.064505177,206,0.08742149,40900,17.35698523,125779,53.37760991,3161,1.341453064,131209,55.6819725,432/432
16,BUKEDEA,Yoweri_Museveni_Tibuhaburwa_Kaguta_VOTES,99828,14331,14.35569179,389,0.389670233,64,0.06411027,126,0.126217093,4980,4.988580358,118,0.11820331,46,0.046079256,227,0.227391113,246,0.246423849,459,0.45979084,37590,37.6547662,58576,58.67692431,3161,3.166446288,61724,61.8303482,180/180
17,BUKOMANSIMBI,Kyagulanyi_Ssentamu_Robert_VOTES,76557,118,0.154133521,30,0.039186488,42,0.054861084,92,0.120171898,32155,42.00138459,106,0.138458926,18,0.023511893,52,0.067923247,34,0.044411354,88,0.114947033,13649,17.82854605,46384,60.58753608,3161,4.128949671,47591,62.16413914,147/151
18,BUKWO,Yoweri_Museveni_Tibuhaburwa_Kaguta_VOTES,44126,451,1.022073154,73,0.165435344,80,0.181299007,43,0.097448216,3032,6.87123238,56,0.126909305,72,0.163169107,80,0.181299007,52,0.117844355,93,0.210760096,27888,63.20083398,31920,72.33830395,3161,7.163577029,32895,74.5478856,140/140
19,BULAMBULI,Yoweri_Museveni_Tibuhaburwa_Kaguta_VOTES,71664,700,0.976780531,65,0.090701049,132,0.1841929,43,0.060002233,10788,15.05358339,57,0.079537843,16,0.022326412,57,0.079537843,87,0.121399866,104,0.145121679,38972,54.38155838,51021,71.19474213,3161,4.4108618,52560,73.3422639,245/245
20,BULIISA,Yoweri_Museveni_Tibuhaburwa_Kaguta_VOTES,44869,355,0.791192137,194,0.432369788,86,0.191669081,50,0.111435512,6152,13.71102543,89,0.198355212,17,0.037888074,104,0.231785866,80,0.17829682,187,0.416768816,19316,43.0497671,26630,59.35055383,3161,7.044953086,28326,63.13044641,96/96
21,BUNDIBUGYO,Yoweri_Museveni_Tibuhaburwa_Kaguta_VOTES,113472,227,0.200049351,119,0.104871686,153,0.134835025,148,0.130428652,18076,15.92992104,92,0.08107727,36,0.031725888,185,0.163035815,100,0.088127468,229,0.201811901,52408,46.1858432,71773,63.2517273,3161,2.78570925,73918,65.14206148,297/298
#N/A,BUNYANGABU,Yoweri_Museveni_Tibuhaburwa_Kaguta_VOTES,92440,432,0.46733016,144,0.15577672,222,0.240155777,254,0.274772826,9816,10.61877975,56,0.060579836,33,0.035698832,553,0.598225876,108,0.11683254,204,0.220683687,44435,48.06901774,56257,60.85785374,3161,3.419515361,57893,62.62765037,184/184
22,BUSHENYI,Yoweri_Museveni_Tibuhaburwa_Kaguta_VOTES,140415,2029,1.445002315,295,0.210091514,337,0.240002849,866,0.616743225,10937,7.789053876,138,0.098280098,51,0.036320906,2841,2.02328811,141,0.100416622,534,0.38030125,66572,47.41088915,84741,60.35038992,3161,2.25118399,87415,62.25474486,258/258
23,BUSIA,Kyagulanyi_Ssentamu_Robert_VOTES,163571,2671,1.632930043,945,0.577730771,738,0.451180221,448,0.27388718,45166,27.61247409,305,0.186463371,137,0.083755678,299,0.182795239,261,0.159563737,441,0.269607693,44679,27.31474406,96090,58.74513208,3161,1.932494146,100883,61.6753581,284/284
24,BUTALEJA,Yoweri_Museveni_Tibuhaburwa_Kaguta_VOTES,110737,641,0.578848985,351,0.316967229,239,0.215826688,200,0.180608107,29037,26.22158809,159,0.143583445,80,0.072243243,147,0.132746959,149,0.13455304,287,0.259172634,37856,34.18550259,69146,62.44164101,3161,2.854511139,71244,64.33622005,204/204
