district,Museveni,InvalidVotes,labelwinner
Apac,31908,3161,Museveni
Arua,23824,2263,Museveni
Bundibugyo,52408,2145,Museveni
Bushenyi,66572,2674,Museveni
Gulu,9997,2055,Museveni
Hoima,38431,2971,Museveni
Iganga,35660,3368,Kyagulanyi
Jinja,23005,3115,Kyagulanyi
Kabale,75032,2247,Museveni
Kabarole,50058,3256,Museveni
Kalangala,5275,1000,Kyagulanyi
Kampala,128658,12624,Kyagulanyi
Kamuli,57470,5899,Kyagulanyi
Kapchorwa,30590,1021,Museveni
Kasese,109275,6682,Museveni
Kibaale,35804,1494,Museveni
Kiboga,24254,2052,Museveni
Kisoro,98694,2982,Museveni
Kitgum,26880,4459,Museveni
Kotido,32310,4846,Museveni
Kumi,38234,3336,Museveni
Lira,36908,2882,Museveni
Luwero,41166,4649,Kyagulanyi
Masaka,11317,1187,Kyagulanyi
Masindi,55604,4364,Museveni
Mbale,37106,2603,Museveni
Mbarara,49807,1419,Museveni
Moroto,21342,2225,Museveni
Moyo,18227,1542,Museveni
Mpigi,22333,2558,Kyagulanyi
Mubende,71834,5661,Museveni
Mukono,48062,4355,Kyagulanyi
Nebbi,47285,4079,Museveni
Ntungamo,161655,3921,Museveni
Pallisa,53788,3938,Museveni
Rakai,47288,3195,Museveni
Rukungiri,77410,4058,Museveni
Soroti,34590,2991,Museveni
Tororo,86248,5792,Museveni
Adjumani,35125,2540,Museveni
Bugiri,45980,5285,Kyagulanyi
Busia,44679,4793,Kyagulanyi
Katakwi,40777,0,Museveni
Nakasongola,35823,2416,Museveni
Ssembabule,45234,2297,Museveni
Kamwenge,85241,1087,Museveni
Kayunga,35881,4507,Kyagulanyi
Kyenjojo,110869,4744,Museveni
Mayuge,50932,4487,Kyagulanyi
Pader,28233,3244,Museveni
Sironko,43275,7,Museveni
Wakiso,122505,12518,Kyagulanyi
Yumbe,50686,4075,Museveni
Kaberamaido,18589,1456,Museveni
Kanungu,72126,2604,Museveni
Nakapiripirit,22029,1145,Museveni
Amolatar,38619,1908,Museveni
Amuria,34666,2216,Museveni
Bukwo,27888,975,Museveni
Butaleja,37856,2098,Museveni
Ibanda,77521,2042,Museveni
Isingiro,188609,2410,Museveni
Kaabong,26100,3221,Museveni
Kaliro,38189,3094,Museveni
Kiruhura,75483,311,Museveni
Koboko,34410,2933,Museveni
Manafwa,32999,1849,Museveni
Mityana,38163,3516,Kyagulanyi
Nakaseke,38009,2896,Museveni
Abim,18254,875,Museveni
Amuru,18742,3103,Museveni
Budaka,33261,0,Museveni
Buliisa,19316,1696,Museveni
Dokolo,36774,2142,Museveni
Namutumba,38427,2936,Museveni
Oyam,62292,5411,Museveni
Maracha,33674,4764,Museveni
Bududa,29224,1432,Museveni
Bukedea,37590,3148,Museveni
Lyantonde,23967,798,Museveni
Amudat,30451,246,Museveni
Buikwe,40900,5430,Kyagulanyi
Buyende,47916,4134,Museveni
Kyegegwa,69129,3040,Museveni
Lamwo,19322,2837,Museveni
Otuke,25464,1941,Museveni
Zombo,45578,4685,Museveni
Alebtong,42832,3207,Museveni
Bulambuli,38972,1539,Museveni
Buvuma,6814,848,Kyagulanyi
Gomba,24568,1564,Kyagulanyi
Kiryandongo,38083,4662,Museveni
Kyankwanzi,39859,2509,Museveni
Luuka,27520,2450,Kyagulanyi
Namayingo,27341,3110,Kyagulanyi
Ntoroko,19670,756,Museveni
Serere,38555,3876,Museveni
Bukomansimbi,13649,1207,Kyagulanyi
Butambala,9379,1135,Kyagulanyi
Kalungu,16377,1387,Kyagulanyi
Sheema,65220,2201,Museveni
Kibuku,34078,1414,Museveni
Kole,46900,3197,Museveni
Kween,27467,1038,Museveni
Lwengo,36411,2687,Kyagulanyi
Mitooma,54935,1711,Museveni
Napak,32490,2829,Museveni
Ngora,24662,1769,Museveni
Buhweju,41423,1273,Museveni
Nwoya,13910,1552,Museveni
Agago,47696,2572,Museveni
Rubirizi,39686,1306,Museveni
Kagadi,88830,5037,Museveni
Kakumiro,73132,3347,Museveni
Omoro,20902,2557,Museveni
Rubanda,67263,1889,Museveni
Bunyangabu,44435,1636,Museveni
Butebo,23532,912,Museveni
Kyotera,25598,2279,Kyagulanyi
Namisindwa,40563,3351,Museveni
Pakwach,32354,0,Museveni
Rukiga,31251,1583,Museveni
Bugweri,17428,2018,Kyagulanyi
Kapelebyong,17529,1652,Museveni
Kassanda,37265,3490,Kyagulanyi
Kikuube,49490,3246,Museveni
Kwania,36364,2820,Museveni
Nabilatuk,16038,536,Museveni
Kalaki,24556,1563,Museveni
Karenga,12819,673,Museveni
Kazo,73043,1078,Museveni
Kitagwenda,40417,1191,Museveni
Madi,25779,2414,Museveni
Obongi,7676,884,Museveni
Rwampara,35981,747,Museveni
Arua City,39566,4645,Museveni
Gulu City,14603,1952,Museveni
Jinja City,21202,2750,Kyagulanyi
Fort Portal City,25753,1424,Museveni
Mbarara City,36466,1656,Museveni
Masaka City,14992,1543,Kyagulanyi
Mbale City,29717,3128,Kyagulanyi
Terego,24718,4497,Museveni
Lira City,30271,2140,Museveni
Hoima City,19751,1450,Museveni
Soroti City,12031,1252,Amuriat
OVERALLTOTAL,6030867,392248,
