id,Comment,Classes,ner_text,ner_comments,Class_Value
5,activity well completed ,Excellent,,,4
14,activity took time completed completed satisfaction ,Excellent,,,4
19,noted task completed ,Excellent,,,4
101,completed satisfaction ,Excellent,,,4
111,completed satisfaction ,Excellent,,,4
112,completed within time frame specified ,Excellent,,,4
114,completed satisfaction ,Excellent,,,4
125,successfully finished task ,Excellent,,,4
139,checked completed ,Excellent,,,4
140,checked completed ,Excellent,,,4
159,isquick learner completed task meant acceptance criterion improve speed completing many task possible inweek improve team work ,Excellent,isquick learner,isquick learner,4
166,task completed ,Excellent,,,4
168,task well completed ,Excellent,,,4
192,database successfully created ,Excellent,,,4
208,task completed time instructed ,Excellent,,,4
210,completed task meant acceptance criterion completed withinminimal time frame ,Excellent,,,4
218,task assignment well completed good interaction lesson ,Excellent,,,4
219,task completed ,Excellent,,,4
223,well completed ,Excellent,,,4
256,completed task meant acceptance criterion completed withinminimal time frame ,Excellent,,,4
259,task well completed nice website done ,Excellent,,,4
273,completed task meant acceptance criterion completed withinminimal time frame ,Excellent,,,4
285,best get task done ,Excellent,,,4
313,dashboard reporting system completed ,Excellent,,,4
377,onboarding began successfully looking forward learning contributing frontend task ,Excellent,,,4
378,onboarding began successfully looking forward learning contributing frontend task ,Excellent,,,4
379,onboarding began successfully looking forward learning taking assigned task ,Excellent,,,4
398,calvin successfully completed weektasks setting development enviroment messaging app ,Excellent,,,4
410,moses successfully set development enviroment ,Excellent,,,4
438,ruth successfully set development enviroment far well ,Excellent,ruth successfully,ruth successfully,4
479,kenneth successfully completed weekmain task without challenge also deployed messaging app online accessed one connected internet ,Excellent,kenneth successfully,kenneth successfully,4
484,completed website design ,Excellent,,,4
508,apart connection issue mwesigwa successfully completed weektasksalso encourage contact lead developer incase coding challenge ,Excellent,,,4
518,successfully completed weekmain task without challenge ,Excellent,,,4
527,charlotte requested attend networking session well completed weektasks ease ,Excellent,charlotte,charlotte,4
563,ruth completed weektasks without challenge ,Excellent,ruth,ruth,4
626,ronald successfully completed weektasks ,Excellent,ronald successfully,ronald successfully,4
642,networking successfully done changing operating system successfully done ,Excellent,,,4
643,sarah completed weekmain task performing basic configuration layer 3 device configuring vlans layer 2 device ,Excellent,"3, 2","3, 2",4
682,task accomplished time ,Excellent,,,4
738,ruth successfully completed weekmain task deploying messaging app online app accessed one connected internet ,Excellent,ruth successfully,ruth successfully,4
780,completed assignment given ,Excellent,,,4
795,successfully completed weektasks configuringcisco router dhcp server configuring end device dhcp client dismantling assembling laptop ,Excellent,,,4
802,andrew successfully completed weekmain task dismantling assembling laptop configuringlayer 3 device asdhcp server configuring static route ,Excellent,"andrew successfully, 3","andrew successfully, 3",4
811,successfully completed graphic design ,Excellent,,,4
814,task week completed work reviewed git repository ,Excellent,task week,task week,4
819,steven successfully completed weektasks configuring static route layer 3 device inter vlan routing using router stick activating remote access protocol device ssh telnet ,Excellent,3,3,4
822,ronald successfully completed weektasks interconnect configure layer 2 device ease ,Excellent,"ronald successfully, 2","ronald successfully, 2",4
832,stom successfully completed weekmain task setting development environment formobile app ,Excellent,,,4
833,successfully completed task week ,Excellent,,,4
834,task well done ,Excellent,,,4
840,junior successfully completed weekmain task without challenge also deployed messaging app online accessed anyone connected internet ,Excellent,,,4
842,chrispus successfully completed weektasks heprogressing well ,Excellent,,,4
845,successfully completed weekmain task setting development environment mobile app ,Excellent,,,4
866,didnface challenge week completed task ease ,Excellent,didnface challenge week,didnface challenge week,4
873,jackson successfully completed weekmain task setting development enviroment mobile app ,Excellent,jackson successfully completed weekmain task setting development enviroment mobile app,jackson successfully completed weekmain task setting development enviroment mobile app,4
883,successfully completed weekmain task setting development environment mobile delivery app ,Excellent,,,4
912,successfully completed weekmain task configuring routing protocol layer 3 device installing software operating system application software end device ,Excellent,3,3,4
913,managed complete weekmain task configuring vlans layer 2 device intervlan routing using router stick method ,Excellent,2,2,4
932,xavier completed weekmain task setting mobile app development enviroment without challenge ,Excellent,,,4
991,task delivered time ,Excellent,,,4
1001,louisa maanaged complete weekmain task setting database enviroment mobile app ,Excellent,,,4
1003,davis successfully completed weektasks without challenge hea promising developer ,Excellent,davis,davis,4
1006,timothy successfully completed weektasks activate routing protocol layer 3 device install software pc ,Excellent,"timothy successfully, 3","timothy successfully, 3",4
1007,successfully completed weekmain task setting database enviroment mobile appalso encourage abdullah get used debugging error since debugging inseparable coding ,Excellent,,,4
1009,yvette completed weekmain taske setting database enviroment mobile app ,Excellent,,,4
1020,gloria completed weekmain task setting database environment mobile app ,Excellent,,,4
1021,completed sprint successfully managed get comfortable frontend code repo ,Excellent,,,4
1024,successfully completed weekmain task setting database environment mobile app ,Excellent,,,4
1025,successfully set database environment mobile app well far ,Excellent,,,4
1047,completed weektasks configuring routing protocol layer 3 device installing application software end device ,Excellent,3,3,4
1051,successfully completed task well elaborated medium article ,Excellent,,,4
1057,marvin managed complete weekmain task setting database environment mobile app ,Excellent,,,4
1064,leticia successfully completed weektasks transport challengeencourage plan movementsbit early ,Excellent,,,4
1065,successfully completed weekmain task configuring routing protocol layer 3 device vlans layer 2 device ,Excellent,"3, 2","3, 2",4
1073,task accomplished time ,Excellent,,,4
1078,xavier managed complete weekmain task setting database enviroment mobile appalso encourage contact lead developer incase complicated concept ,Excellent,,,4
1084,successfully setup database enviroment delivery app ,Excellent,,,4
1087,nuhu successfully completed weekmain task setting database environment mobile app ,Excellent,,,4
1089,lilian successfully completed weekmain task setting database enviroment mobile app ,Excellent,,,4
1091,emmanuel completed weektasks challenge ,Excellent,,,4
1096,successfully completed weekmain task setting database environment mobile app ,Excellent,,,4
1100,jacintah successfully completed weekmain task setting database enviroment mobile app ,Excellent,jacintah,jacintah,4
1103,despitefew challenge daniel completed weekmain task setting development database environment formobile delivery app ,Excellent,,,4
1111,ruth successfully completed weekmain task setting database enviroment mobile app incase poor networkencourage make use recording contact lead developer guidance ,Excellent,ruth successfully,ruth successfully,4
1112,patricia managed complete weekmain task configuring routing protocol layer 3 device installing operating system without challenge ,Excellent,"patricia, 3","patricia, 3",4
1113,successfully handled task computer hardware maintenance given ,Excellent,,,4
1114,emilly successfully completed weekmain task setting database enviroment mobile app ,Excellent,,,4
1128,kenneth successfully completed weekmain task setting database enviroment mobile delivery appalso encourage always refer recorded video end session incase unstable internet contact leader developer guidance ,Excellent,kenneth successfully,kenneth successfully,4
1129,harnest completed weektasks without challenge hedoing well ,Excellent,,,4
1130,complete task posting chat remote server task working ,Excellent,,,4
1131,managed complete weekmain task setting database environment mobile app ,Excellent,,,4
1136,completed successfully ,Excellent,,,4
1137,discussion completed successfully ,Excellent,,,4
1154,calvin successfully completed weekmain task setting database environment mobile app ,Excellent,,,4
1155,task 1 3 done well task 4 completed please take time complete ,Excellent,"1 3, 4","1 3, 4",4
1176,completed ,Excellent,,,4
1214,andrew successfully completed weektasks without challenge ,Excellent,andrew successfully,andrew successfully,4
1219,task completed time need onboard setting analytics ,Excellent,,,4
1239,hilda successfully completed weektasks curfewencourage plan movementsbit early ,Excellent,,,4
1257,aida completed weekmain task building apk app run onreal mobile device case poor networkencourage make use recording also free contact lead developer time help ,Excellent,,,4
1290,leticia successfully completed weektasks without challenge ispromising networking professional ,Excellent,,,4
1296,task well done ,Excellent,,,4
1305,samson successfully completed weekmain task setting development enviroment formobile delivery app ,Excellent,,,4
1307,successfully completed weektasks ,Excellent,,,4
1312,successfully completed weekmain task configuring vlans layer 2 device fixing pc ,Excellent,2,2,4
1357,task completed well time ,Excellent,,,4
1383,rebecca successfully completed weekmain task configuring vlans layer 2 device dhcp layer 3 device ,Excellent,"2, 3","2, 3",4
1387,task completed time ,Excellent,,,4
1395,elysmus completed weektasks without challenge well ,Excellent,,,4
1397,hellen started internship stratcom well also completed weekmain task without challenge ,Excellent,hellen,hellen,4
1400,task completed successfully ,Excellent,,,4
1423,sarah successfully completed weektasks shea promising networking professional ,Excellent,sarah successfully,sarah successfully,4
1432,resty doesnneed internet practical session networking aside completed weektasks ,Excellent,,,4
1434,successfully completed weektasks configuring access control list layer 3 device filter network traffic also perfected command needed operate cisco io ,Excellent,3,3,4
1474,collins successfully completed weektasks hedoing well ,Excellent,,,4
1491,task completed time ,Excellent,,,4
1495,joshua successfully completed weektasksencourage perfect linux since ita good operating system term security ,Excellent,joshua successfully,joshua successfully,4
1503,andrew successfully completed weektasksstill encourage plan movement abit early save transport cost ,Excellent,andrew successfully,andrew successfully,4
1506,completed ,Excellent,,,4
1520,muyimba successfully completed weektasks setting upwireless lan operating office equipment ,Excellent,,,4
1525,steven successfully completed weektasks set uplan also share resource like printer internet connection without problem ,Excellent,,,4
1539,completed ,Excellent,,,4
1540,completed ,Excellent,,,4
1543,completed ,Excellent,,,4
1578,task completed time managed complete development initial website requested ,Excellent,,,4
1583,task completed well willingness learn isgood sign ,Excellent,,,4
1593,successfully set database environment messaging app ,Excellent,,,4
1595,collins completed task expected ,Excellent,,,4
1599,successfully completed weekmain task configuring routing protocol late 3 device fixing pc ,Excellent,,,4
1600,completed weekmain task configuring interior gateway protocol layer 3 device fixing common pc problem ,Excellent,3,3,4
1602,successfully completed weekmain task configuring routing protocol layer 3 device fixing pc ,Excellent,3,3,4
1605,successfully completed weekmain task configuring interior gateway protocol layer 3 device fixing common pc problem ,Excellent,3,3,4
1606,rhoda successfully completed weekmain task configuring routing protocol layer 3 device pc repair also learnt configure static ip parameter todesktop ,Excellent,3,3,4
1611,solomon successfully completed weektasksencourage plan movementsbit early stratcom time training ,Excellent,,,4
1614,successfully completed weekmain task configuring interior gateway protocol layer 3 device fixing common pc problem also understands new concept networking command ease ,Excellent,3,3,4
1616,successfully completed weekmain task configuring interior gateway protocol layer 3 device fixing common pc problem ,Excellent,3,3,4
1639,apart transport issue shadrack successfully completed weektasks operate layer 2 3 networking device ease ,Excellent,2 3,2 3,4
1652,successfully completed weektasksencourage utilize time stratcom acquire hand skill practical competence ,Excellent,,,4
1654,jovan successfully completed weektasks without challenge ,Excellent,,,4
1661,task completed time data uploaded farmer profiling system ,Excellent,,,4
