,Comment,Classes,ner_text,ner_comments
0,djfjkdfjkjkffdk edited ,Very Poor,,
1,faith exhibited enthusiasm taking project hand already shown promising sign understanding core concept software engineeringlook forward discovering time go ,Very Poor,,
2,understood structure grail different component relate understands process getting apifrom mtn ,Very Poor,,
3,intern oriented ict setup infrastructure soroti university drafted workplan started internship simon encouraged take internship seriously waslot learn ,Very Poor,,
4,student oriented organization structure developed workplan 4 week internship participated assessment printer servicing acquired technical teamwork skill workplace ,Very Poor,4 week,4 week
5,activity well completed ,Excellent,,
6,finished time ,Very Poor,,
7,studentweekly progress justifiably good characterized enthusiasm learning ,Good,,
8,noted ,Very Poor,,
9,found interesting able identify know problem associated overcome ,Very Poor,,
10,partially done expectedbetter result based stevenexperienced effort needed ,Very Poor,,
11,done partial satisfaction hopefully learning point picked ,Very Poor,,
12,confirmed done specified ,Very Poor,,
13,faced problem identifying symbol part asked question made effort learn good ,Very Poor,,
14,activity took time completed completed satisfaction ,Excellent,,
15,know requirement install setting upnetwork managing ,Very Poor,,
16,little delay constant supervision task finally completed reviewed line supervisor good job mahad ,Very Poor,,
17,seemed idea setting upstructured network nowknow dolot ,Very Poor,,
18,student learnt demonstrated system administration skill creating email driver performed data backup troubleshooting computer hardware local area network ,Very Poor,,
19,noted task completed ,Excellent,,
20,stephen diligent work made effort resolve issue assigned hasquick understanding technical problem try best solve independently stephen isquick learner great future ahead software engineering field ,Very Poor,"stephen diligent, hasquick understanding technical","stephen diligent, hasquick understanding technical"
21,noted confirmed ,Very Poor,,
22,good knowledge whole process installation ,Good,,
23,learning target achieved ,Very Poor,,
24,knowledge topic identify use device ,Very Poor,,
25,assigned two task one learn basic software engineering building architecture software process work flaw done wellwanted learn git working remotely learns thereforewill monitoring code githubrealized previously knew nothing git know something get started ,Very Poor,two,two
26,assigned two task one learn basic software engineering building architecture software process work flaw done wellwanted learn git working remotely learns thereforewill monitoring code githubrealized previously knew nothing git know something get started ,Very Poor,two,two
27,still problem using jquery vue j interfaceadvised use different master page use cs avoid conflict still working steady progress ,Very Poor,,
28,good attitude resilience isgood start ,Good,,
29,interested learning new thing like command system admins thing otherwise well performed ,Very Poor,,
